tick,pop_size,n_incarcerated,n_current_smokers,n_AUD,n_alcohol_abstainers,n_exits,n_entries
1239,5000,5,722,283,397,0,0
1240,5000,5,711,280,397,0,0
1241,5000,5,703,280,397,0,0
1242,5000,5,715,282,395,0,0
1243,5000,5,711,279,398,0,0
1244,5000,5,717,277,404,0,0
1245,5000,5,712,275,408,0,0
1246,5000,5,704,275,401,0,0
1247,5000,5,695,271,393,0,0
1248,5000,6,707,271,392,0,0
1249,5000,6,715,271,388,0,0
1250,5000,6,721,268,391,0,0
1251,5000,6,723,268,393,0,0
1252,5000,6,726,265,396,0,0
1253,5000,6,725,262,397,0,0
1254,5000,6,722,263,396,0,0
1255,5000,6,719,267,395,0,0
1256,5000,6,702,265,393,0,0
1257,5000,6,697,267,386,0,0
1258,5000,6,717,265,377,0,0
1259,5000,6,716,262,382,0,0
1260,5000,6,704,260,383,0,0
1261,5000,6,708,260,388,0,0
1262,5000,6,705,258,391,0,0
1263,5000,5,704,259,388,0,0
1264,5000,5,715,261,391,0,0
1265,5000,4,732,262,389,0,0
1266,5000,4,733,263,379,0,0
1267,5000,4,722,258,384,0,0
1268,5000,4,724,259,383,0,0
1269,5000,4,709,257,386,0,0
1270,5000,4,706,256,386,0,0
1271,5000,4,713,254,386,0,0
1272,5000,4,717,254,384,0,0
1273,5000,4,719,256,380,0,0
1274,5000,4,717,256,377,0,0
1275,5000,4,722,257,377,0,0
1276,5000,4,729,252,374,0,0
1277,5000,4,732,253,380,0,0
1278,5000,4,720,249,379,0,0
1279,5000,4,714,251,378,0,0
1280,5000,4,708,250,382,0,0
1281,5000,4,698,254,383,0,0
1282,5000,4,696,251,386,0,0
1283,5000,4,679,251,388,0,0
1284,5000,4,667,249,392,0,0
1285,5000,5,671,250,391,0,0
1286,5000,5,679,253,394,0,0
1287,5000,5,686,256,394,0,0
1288,5000,5,700,255,394,0,0
1289,5000,5,706,255,395,0,0
1290,5000,5,690,259,394,0,0
1291,5000,5,674,264,394,0,0
1292,5000,5,687,265,396,0,0
1293,5000,5,673,267,391,0,0
1294,5000,5,678,264,389,0,0
1295,5000,5,693,272,395,0,0
1296,5000,5,699,271,401,0,0
1297,5000,5,698,267,398,0,0
1298,5000,5,705,264,401,0,0
1299,5000,5,699,265,402,0,0
1300,5000,5,703,264,400,0,0
1301,5000,5,704,262,401,0,0
1302,5000,5,693,261,398,0,0
1303,5000,5,705,263,397,0,0
1304,5000,5,690,263,395,0,0
1305,5000,5,692,261,399,0,0
1306,5000,6,689,264,398,0,0
1307,5000,6,701,265,393,0,0
1308,5000,6,708,262,383,0,0
1309,5000,6,705,265,386,0,0
1310,5000,6,693,267,390,0,0
1311,5000,5,687,265,394,0,0
1312,5000,5,681,267,395,0,0
1313,5000,5,674,273,395,0,0
1314,5000,5,675,274,399,0,0
1315,5000,5,675,268,403,0,0
1316,5000,5,667,269,404,0,0
1317,5000,5,664,272,406,0,0
1318,5000,5,671,267,409,0,0
1319,5000,5,682,265,414,0,0
1320,5000,6,675,268,409,0,0
1321,5000,6,685,270,416,0,0
1322,5000,6,684,271,418,0,0
1323,5000,6,678,273,416,0,0
1324,5000,5,681,279,417,0,0
1325,5000,5,675,285,410,0,0
1326,5000,5,682,283,414,0,0
1327,5000,5,662,282,423,0,0
1328,5000,5,660,282,432,0,0
1329,5000,5,670,280,426,0,0
1330,5000,5,670,280,421,0,0
1331,5000,5,671,283,419,0,0
1332,5000,5,677,285,421,0,0
1333,5000,5,677,285,421,0,0
1334,5000,5,672,288,418,0,0
1335,5000,5,686,291,413,0,0
1336,5000,5,680,296,407,0,0
1337,5000,5,695,292,403,0,0
1338,5000,5,707,293,408,0,0
1339,5000,5,708,295,406,0,0
1340,5000,5,718,290,411,0,0
1341,5000,6,718,288,409,0,0
1342,5000,5,723,290,408,0,0
1343,5000,5,720,290,404,0,0
1344,5000,5,726,291,407,0,0
1345,5000,5,731,288,409,0,0
1346,5000,5,736,285,407,0,0
1347,5000,5,716,285,410,0,0
1348,5000,5,712,287,409,0,0
1349,5000,5,711,288,414,0,0
1350,5000,5,720,291,420,0,0
1351,5000,6,715,288,424,0,0
1352,5000,6,703,286,430,0,0
1353,5000,6,713,288,426,0,0
1354,5000,6,706,288,427,0,0
1355,5000,6,706,291,426,0,0
1356,5000,6,708,293,419,0,0
1357,5000,6,719,292,428,0,0
1358,5000,6,707,293,432,0,0
1359,5000,6,706,295,428,0,0
1360,5000,6,707,293,431,0,0
1361,5000,6,702,294,427,0,0
1362,5000,6,695,298,424,0,0
1363,5000,6,695,297,429,0,0
1364,5000,6,696,293,427,0,0
1365,5000,6,700,294,425,0,0
1366,5000,6,699,294,423,0,0
1367,5000,6,678,289,417,0,0
1368,5000,6,669,290,420,0,0
1369,5000,6,683,289,423,0,0
1370,5000,6,683,289,422,0,0
1371,5000,6,688,294,419,0,0
1372,5000,6,704,299,418,0,0
1373,5000,6,705,299,417,0,0
1374,5000,6,694,294,421,0,0
1375,5000,6,701,295,423,0,0
1376,5000,6,699,293,421,0,0
1377,5000,6,699,287,418,0,0
1378,5000,6,704,287,417,0,0
1379,5000,6,694,289,420,0,0
1380,5000,6,702,293,418,0,0
1381,5000,6,697,298,422,0,0
1382,5000,6,692,302,419,0,0
1383,5000,6,694,302,426,0,0
1384,5000,6,702,304,421,0,0
1385,5000,5,699,308,427,0,0
1386,5000,6,703,308,429,0,0
1387,5000,6,699,301,432,0,0
1388,5000,6,691,303,439,0,0
1389,5000,6,682,300,437,0,0
1390,5000,6,686,300,436,0,0
1391,5000,6,676,302,440,0,0
1392,5000,6,686,303,442,0,0
1393,5000,6,681,307,448,0,0
1394,5000,5,682,301,456,0,0
1395,5000,5,684,302,443,0,0
1396,5000,5,691,300,449,0,0
1397,5000,5,687,297,452,0,0
1398,5000,5,683,295,451,0,0
1399,5000,5,691,292,452,0,0
1400,5000,5,696,292,449,0,0
1401,5000,5,684,298,446,0,0
1402,5000,6,678,297,450,0,0
1403,5000,6,674,295,452,0,0
1404,5000,6,665,294,446,0,0
1405,5000,6,676,296,448,0,0
1406,5000,6,688,296,454,0,0
1407,5000,6,685,296,448,0,0
1408,5000,6,694,293,452,0,0
1409,5000,6,701,295,453,0,0
1410,5000,6,690,293,454,0,0
1411,5000,6,690,293,455,0,0
1412,5000,6,695,290,458,0,0
1413,5000,6,681,293,453,0,0
1414,5000,6,671,295,442,0,0
1415,5000,5,677,294,441,0,0
1416,5000,5,693,294,436,0,0
1417,5000,5,693,291,437,0,0
1418,5000,5,707,291,441,0,0
1419,5000,5,702,290,439,0,0
1420,5000,6,698,287,437,0,0
1421,5000,6,691,286,438,0,0
1422,5000,6,671,285,438,0,0
1423,5000,6,660,284,442,0,0
1424,5000,6,665,288,445,0,0
1425,5000,6,674,290,442,0,0
1426,5000,6,660,291,439,0,0
1427,5000,6,676,291,431,0,0
1428,5000,6,679,290,427,0,0
1429,5000,6,671,289,428,0,0
1430,5000,5,672,290,420,0,0
1431,5000,5,667,295,424,0,0
1432,5000,5,657,292,426,0,0
1433,5000,5,663,284,428,0,0
1434,5000,5,667,286,427,0,0
1435,5000,6,656,287,425,0,0
1436,5000,6,665,286,424,0,0
1437,5000,6,658,286,423,0,0
1438,5000,6,655,285,422,0,0
1439,5000,6,644,286,423,0,0
1440,5000,6,661,285,419,0,0
1441,5000,6,661,285,419,0,0
1442,5000,6,668,281,421,0,0
1443,5000,6,668,280,419,0,0
1444,5000,6,665,279,422,0,0
1445,5000,6,690,279,420,0,0
1446,5000,6,697,280,418,0,0
1447,5000,6,701,280,423,0,0
1448,5000,6,701,279,425,0,0
1449,5000,6,702,277,425,0,0
1450,5000,6,694,276,420,0,0
1451,5000,6,692,277,422,0,0
1452,5000,6,708,274,424,0,0
1453,5000,6,709,276,425,0,0
1454,5000,6,705,280,422,0,0
1455,5000,6,701,277,421,0,0
1456,5000,7,711,274,420,0,0
1457,5000,7,708,275,425,0,0
1458,5000,7,709,276,427,0,0
1459,5000,7,717,277,429,0,0
1460,5000,7,718,281,426,0,0
1461,5000,7,712,281,430,0,0
1462,5000,7,711,282,435,0,0
1463,5000,7,705,279,432,0,0
1464,5000,7,705,283,430,0,0
1465,5000,8,713,283,430,0,0
1466,5000,8,715,284,439,0,0
1467,5000,8,704,285,442,0,0
1468,5000,8,700,284,439,0,0
1469,5000,8,704,282,441,0,0
1470,5000,8,696,284,439,0,0
1471,5000,8,700,280,430,0,0
1472,5000,8,696,281,423,0,0
1473,5000,8,693,281,423,0,0
1474,5000,8,696,279,428,0,0
1475,5000,8,690,278,424,0,0
1476,5000,8,696,280,417,0,0
1477,5000,8,703,282,422,0,0
1478,5000,8,713,284,418,0,0
1479,5000,8,716,283,414,0,0
1480,5000,8,722,280,420,0,0
1481,5000,8,713,276,415,0,0
1482,5000,8,715,277,419,0,0
1483,5000,8,699,274,421,0,0
1484,5000,9,703,272,424,0,0
1485,5000,9,697,273,423,0,0
1486,5000,10,696,275,429,0,0
1487,5000,10,697,273,426,0,0
1488,5000,10,702,271,420,0,0
1489,5000,10,694,272,418,0,0
1490,5000,10,686,272,421,0,0
1491,5000,10,698,272,426,0,0
1492,5000,10,700,272,419,0,0
1493,5000,10,702,271,407,0,0
1494,5000,10,697,270,404,0,0
1495,5000,10,691,268,410,0,0
1496,5000,10,686,267,408,0,0
1497,5000,10,686,269,405,0,0
1498,5000,10,718,271,403,0,0
1499,5000,10,723,273,407,0,0
1500,5000,10,722,275,409,0,0
1501,5000,10,724,277,410,0,0
1502,5000,10,722,275,411,0,0
1503,5000,10,726,273,412,0,0
1504,5000,10,722,273,415,0,0
1505,5000,10,715,272,414,0,0
1506,5000,10,705,275,411,0,0
1507,5000,10,707,276,409,0,0
1508,5000,11,701,276,407,0,0
1509,5000,11,701,277,413,0,0
1510,5000,11,704,279,415,0,0
1511,5000,11,694,279,416,0,0
1512,5000,11,693,284,413,0,0
1513,5000,11,701,282,417,0,0
1514,5000,11,690,281,415,0,0
1515,5000,11,697,282,421,0,0
1516,5000,11,692,282,429,0,0
1517,5000,11,686,284,430,0,0
1518,5000,10,685,283,434,0,0
1519,5000,10,674,285,436,0,0
1520,5000,10,682,283,431,0,0
1521,5000,10,692,284,429,0,0
1522,5000,10,694,286,426,0,0
1523,5000,10,699,284,424,0,0
1524,5000,10,689,280,427,0,0
1525,5000,10,685,279,426,0,0
1526,5000,10,674,278,422,0,0
1527,5000,10,655,280,419,0,0
1528,5000,10,664,281,415,0,0
1529,5000,10,661,280,416,0,0
1530,5000,11,668,281,419,0,0
1531,5000,10,667,291,418,0,0
1532,5000,10,662,293,412,0,0
1533,5000,10,680,295,412,0,0
1534,5000,10,674,298,410,0,0
1535,5000,10,681,301,408,0,0
1536,5000,10,681,299,410,0,0
1537,5000,10,677,301,414,0,0
1538,5000,10,675,299,413,0,0
1539,5000,10,685,296,415,0,0
1540,5000,10,677,295,414,0,0
1541,5000,10,675,294,419,0,0
1542,5000,10,678,298,424,0,0
1543,5000,10,686,301,419,0,0
1544,5000,9,687,300,406,0,0
1545,5000,9,687,302,408,0,0
1546,5000,9,688,301,406,0,0
1547,5000,10,705,302,406,0,0
1548,5000,10,726,299,404,0,0
1549,5000,10,724,299,407,0,0
1550,5000,10,711,297,408,0,0
1551,5000,10,706,300,410,0,0
1552,5000,10,702,300,404,0,0
1553,5000,10,698,299,404,0,0
1554,5000,10,692,301,408,0,0
1555,5000,10,688,301,406,0,0
1556,5000,10,683,299,401,0,0
1557,5000,9,674,298,399,0,0
1558,5000,9,679,297,402,0,0
1559,5000,9,680,295,406,0,0
1560,5000,9,682,294,412,0,0
1561,5000,9,680,296,420,0,0
1562,5000,9,685,300,416,0,0
1563,5000,9,682,298,422,0,0
1564,5000,9,689,296,425,0,0
1565,5000,9,695,295,422,0,0
1566,5000,9,702,296,420,0,0
1567,5000,9,688,294,419,0,0
1568,5000,9,695,296,423,0,0
1569,5000,9,697,299,426,0,0
1570,5000,9,691,300,426,0,0
1571,5000,9,678,302,423,0,0
1572,5000,9,691,301,423,0,0
1573,5000,9,697,296,421,0,0
1574,5000,9,696,297,417,0,0
1575,5000,9,699,294,419,0,0
1576,5000,9,688,288,423,0,0
1577,5000,9,687,290,418,0,0
1578,5000,9,695,291,419,0,0
1579,5000,9,694,293,417,0,0
1580,5000,9,703,291,414,0,0
1581,5000,10,699,293,420,0,0
1582,5000,10,700,292,424,0,0
1583,5000,10,697,293,424,0,0
1584,5000,10,695,288,423,0,0
1585,5000,10,703,291,415,0,0
1586,5000,10,712,291,413,0,0
1587,5000,10,713,290,417,0,0
1588,5000,10,704,292,410,0,0
1589,5000,10,711,290,413,0,0
1590,5000,10,716,294,411,0,0
1591,5000,10,712,296,414,0,0
1592,5000,10,726,296,417,0,0
1593,5000,10,724,296,418,0,0
1594,5000,10,728,295,414,0,0
1595,5000,10,724,295,411,0,0
1596,5000,10,725,294,410,0,0
1597,5000,10,725,294,408,0,0
1598,5000,10,722,293,412,0,0
1599,5000,10,715,295,406,0,0
1600,5000,10,716,294,409,0,0
1601,5000,10,705,296,410,0,0
1602,5000,9,697,292,414,0,0
1603,5000,8,697,295,412,0,0
1604,5000,8,680,294,410,0,0
1605,5000,8,682,292,409,0,0
1606,5000,8,676,291,411,0,0
1607,5000,8,675,291,410,0,0
1608,5000,8,674,290,409,0,0
1609,5000,8,678,289,419,0,0
1610,5000,8,677,292,409,0,0
1611,5000,8,673,291,406,0,0
1612,5000,8,681,290,405,0,0
1613,5000,8,674,291,403,0,0
1614,5000,9,678,295,407,0,0
1615,5000,9,675,293,409,0,0
1616,5000,9,674,292,411,0,0
1617,5000,9,667,293,412,0,0
1618,5000,9,669,289,417,0,0
1619,5000,9,670,290,420,0,0
1620,5000,9,663,290,421,0,0
1621,5000,9,657,291,426,0,0
1622,5000,9,652,292,431,0,0
1623,5000,9,636,295,433,0,0
1624,5000,9,632,297,433,0,0
1625,5000,9,648,296,429,0,0
1626,5000,9,649,291,435,0,0
1627,5000,9,658,289,434,0,0
1628,5000,9,654,288,434,0,0
1629,5000,8,653,288,435,0,0
1630,5000,8,660,286,433,0,0
1631,5000,8,676,285,432,0,0
1632,5000,8,680,288,430,0,0
1633,5000,8,690,287,432,0,0
1634,5000,8,697,289,436,0,0
1635,5000,8,699,289,439,0,0
1636,5000,8,705,292,437,0,0
1637,5000,8,699,290,437,0,0
1638,5000,8,693,289,437,0,0
1639,5000,8,701,287,444,0,0
1640,5000,8,705,287,446,0,0
1641,5000,8,692,282,451,0,0
1642,5000,8,704,280,451,0,0
1643,5000,8,707,276,448,0,0
1644,5000,8,710,275,447,0,0
1645,5000,8,707,274,436,0,0
1646,5000,8,723,275,430,0,0
1647,5000,9,728,279,428,0,0
1648,5000,10,715,276,428,0,0
1649,5000,11,721,275,427,0,0
1650,5000,11,723,275,429,0,0
1651,5000,11,721,271,436,0,0
1652,5000,11,719,269,436,0,0
1653,5000,11,717,266,441,0,0
1654,5000,11,725,269,447,0,0
1655,5000,11,729,261,443,0,0
1656,5000,10,735,259,440,0,0
